sample	standard_curve	ngml_av	se_mean	flag
118409.1	MoPrP18	531.479	14.195	
118409.3	MoPrP18	544.584	8.477	
118410.2	MoPrP18	121.036	0.593	
118410.4	MoPrP18	146.682	3.354	
118411.1	MoPrP18	529.436	58.554	
118411.3	MoPrP18	571.59	33.802	
118412.2	MoPrP18	129.917	6.313	
118412.4	MoPrP18	171.214	7.74	
122950.3	MoPrP18	32.039	0	
122951.4	MoPrP18	25.804	0.107	
122958.4	MoPrP18	82.53	0.99	
122959.3	MoPrP18	65.65	1.873	
123670.2	MoPrP18	28.044	0.425	
123671.1	MoPrP18	26.233	0.107	
123672.2	MoPrP18	17.746	0.457	
123672.5	MoPrP18	64.86	1.282	
123774.1	MoPrP18	19.218	0.563	
125068.2	MoPrP18	55.073	2.776	
125068.4	MoPrP18	65.156	0.197	
MoNeg	MoPrP18	7.459	2.781	
MoPosHiQC	MoPrP18	67.523	2.169	
MoPosLoQC	MoPrP18	13.303	0	
MoPosMidQC	MoPrP18	40.358	1.32	
