row	col	id
A	1	97828.1
B	1	97829.1
C	1	97831.2
D	1	97831.3
E	1	97832.1
F	1	97832.2
G	1	98732.3
H	1	97832.4
I 	1	97828.1
J	1	97829.1
K	1	97831.2
L	1	97831.3
M	1	97832.1
N	1	97832.2
O	1	98732.3
P	1	97832.4
A	2	97828.1
B	2	97829.1
C	2	97831.2
D	2	97831.3
E	2	97832.1
F	2	97832.2
G	2	98732.3
H	2	97832.4
I 	2	97828.1
J	2	97829.1
K	2	97831.2
L	2	97831.3
M	2	97832.1
N	2	97832.2
O	2	98732.3
P	2	97832.4
A	3	87024.1
B	3	87024.2
C	3	87024.3
D	3	87024.4
E	3	95043.1
F	3	95043.2
G	3	95043.3
H	3	95043.4
I 	3	87024.1
J	3	87024.2
K	3	87024.3
L	3	87024.4
M	3	95043.1
N	3	95043.2
O	3	95043.3
P	3	95043.4
A	4	87024.1
B	4	87024.2
C	4	87024.3
D	4	87024.4
E	4	95043.1
F	4	95043.2
G	4	95043.3
H	4	95043.4
I 	4	87024.1
J	4	87024.2
K	4	87024.3
L	4	87024.4
M	4	95043.1
N	4	95043.2
O	4	95043.3
P	4	95043.4
A	5	87028.3
B	5	87026.1
C	5	87026.2
D	5	87026.3
E	5	87026.4
F	5	87027.1
G	5	87027.2
H	5	87027.3
I 	5	87028.3
J	5	87026.1
K	5	87026.2
L	5	87026.3
M	5	87026.4
N	5	87027.1
O	5	87027.2
P	5	87027.3
A	6	87028.3
B	6	87026.1
C	6	87026.2
D	6	87026.3
E	6	87026.4
F	6	87027.1
G	6	87027.2
H	6	87027.3
I 	6	87028.3
J	6	87026.1
K	6	87026.2
L	6	87026.3
M	6	87026.4
N	6	87027.1
O	6	87027.2
P	6	87027.3
A	7	87021.3
B	7	87025.1
C	7	87025.2
D	7	87023.1
E	7	95042.1
F	7	95042.2
G	7	87028.1
H	7	87028.2
I 	7	87021.3
J	7	87025.1
K	7	87025.2
L	7	87023.1
M	7	95042.1
N	7	95042.2
O	7	87028.1
P	7	87028.2
A	8	87021.3
B	8	87025.1
C	8	87025.2
D	8	87023.1
E	8	95042.1
F	8	95042.2
G	8	87028.1
H	8	87028.2
I 	8	87021.3
J	8	87025.1
K	8	87025.2
L	8	87023.1
M	8	95042.1
N	8	95042.2
O	8	87028.1
P	8	87028.2
A	9	97827.3
B	9	97827.4
C	9	97839.1
D	9	97839.2
E	9	95041.1
F	9	97838.2
G	9	97838.3
H	9	87029.1
I 	9	97827.3
J	9	97827.4
K	9	97839.1
L	9	97839.2
M	9	95041.1
N	9	97838.2
O	9	97838.3
P	9	87029.1
A	10	97827.3
B	10	97827.4
C	10	97839.1
D	10	97839.2
E	10	95041.1
F	10	97838.2
G	10	97838.3
H	10	87029.1
I 	10	97827.3
J	10	97827.4
K	10	97839.1
L	10	97839.2
M	10	95041.1
N	10	97838.2
O	10	97838.3
P	10	87029.1
A	11	87019.1
B	11	87019.2
C	11	87019.3
D	11	87019.4
E	11	87019.5
F	11	97827.1
G	11	97827.2
H	11	97823.1
I 	11	87019.1
J	11	87019.2
K	11	87019.3
L	11	87019.4
M	11	87019.5
N	11	97827.1
O	11	97827.2
P	11	97823.1
A	12	87019.1
B	12	87019.2
C	12	87019.3
D	12	87019.4
E	12	87019.5
F	12	97827.1
G	12	97827.2
H	12	97823.1
I 	12	87019.1
J	12	87019.2
K	12	87019.3
L	12	87019.4
M	12	87019.5
N	12	97827.1
O	12	97827.2
P	12	97823.1
A	13	97836.3
B	13	97836.4
C	13	95040.1
D	13	96725.1
E	13	87022.2
F	13	87022.3
G	13	87021.1
H	13	87021.2
I 	13	97836.3
J	13	97836.4
K	13	95040.1
L	13	96725.1
M	13	87022.2
N	13	87022.3
O	13	87021.1
P	13	87021.2
A	14	97836.3
B	14	97836.4
C	14	95040.1
D	14	96725.1
E	14	87022.2
F	14	87022.3
G	14	87021.1
H	14	87021.2
I 	14	97836.3
J	14	97836.4
K	14	95040.1
L	14	96725.1
M	14	87022.2
N	14	87022.3
O	14	87021.1
P	14	87021.2
A	15	97824.3
B	15	87020.1
C	15	87020.2
D	15	87020.3
E	15	97837.1
F	15	97837.2
G	15	97837.3
H	15	97838.1
I 	15	97824.3
J	15	87020.1
K	15	87020.2
L	15	87020.3
M	15	97837.1
N	15	97837.2
O	15	97837.3
P	15	97838.1
A	16	97824.3
B	16	87020.1
C	16	87020.2
D	16	87020.3
E	16	97837.1
F	16	97837.2
G	16	97837.3
H	16	97838.1
I 	16	97824.3
J	16	87020.1
K	16	87020.2
L	16	87020.3
M	16	97837.1
N	16	97837.2
O	16	97837.3
P	16	97838.1
A	17	97823.2
B	17	97823.3
C	17	97825.1
D	17	97825.2
E	17	97825.3
F	17	97825.4
G	17	97824.1
H	17	97824.2
I 	17	97823.2
J	17	97823.3
K	17	97825.1
L	17	97825.2
M	17	97825.3
N	17	97825.4
O	17	97824.1
P	17	97824.2
A	18	97823.2
B	18	97823.3
C	18	97825.1
D	18	97825.2
E	18	97825.3
F	18	97825.4
G	18	97824.1
H	18	97824.2
I 	18	97823.2
J	18	97823.3
K	18	97825.1
L	18	97825.2
M	18	97825.3
N	18	97825.4
O	18	97824.1
P	18	97824.2
A	19	97826.1
B	19	97826.2
C	19	97826.3
D	19	97826.4
E	19	97826.5
F	19	97829.2
G	19	97829.3
H	19	97829.4
I 	19	97826.1
J	19	97826.2
K	19	97826.3
L	19	97826.4
M	19	97826.5
N	19	97829.2
O	19	97829.3
P	19	97829.4
A	20	97826.1
B	20	97826.2
C	20	97826.3
D	20	97826.4
E	20	97826.5
F	20	97829.2
G	20	97829.3
H	20	97829.4
I 	20	97826.1
J	20	97826.2
K	20	97826.3
L	20	97826.4
M	20	97826.5
N	20	97829.2
O	20	97829.3
P	20	97829.4
A	21	97830.1
B	21	97830.2
C	21	97830.3
D	21	97830.4
E	21	97830.5
F	21	97831.1
G	21	97836.1
H	21	97836.2
I 	21	97830.1
J	21	97830.2
K	21	97830.3
L	21	97830.4
M	21	97830.5
N	21	97831.1
O	21	97836.1
P	21	97836.2
A	22	97830.1
B	22	97830.2
C	22	97830.3
D	22	97830.4
E	22	97830.5
F	22	97831.1
G	22	97836.1
H	22	97836.2
I 	22	97830.1
J	22	97830.2
K	22	97830.3
L	22	97830.4
M	22	97830.5
N	22	97831.1
O	22	97836.1
P	22	97836.2
