sequence_number	replicate	residual
934	1	1.251182739567923
934	2	0.7144444670274046
934	3	0.7044157465321984
952	1	2.7117519816526268
952	2	2.0663422689234228
952	3	0.01484570007813749
979	1	0.44438901087582094
979	2	1.102026823967808
979	3	0.9034283185228419
1014	1	0.9030527620314835
1014	3	1.3188363002097572
1173	1	0.3682983318304442
1173	2	0.2938071677936995
1173	3	0.6468726015514541
1637	1	0.10588725394333935
1637	2	0.3793694993467983
1637	3	0.16452627885224294
1651	1	0.6640495389502504
1651	2	0.5373316912827204
1651	3	0.25877973766264817
1682	1	0.12287767697453887
1682	2	0.11210844569128979
1780	1	0.6644095823032399
1780	2	0.3016518025392892
1780	3	0.24516342254946932
1862	1	0.11329455907470176
1862	2	0.10685752881287403
1862	3	0.11326107985109608
1877	1	0.5496940290107359
1877	2	0.3603682374837016
1877	3	0.7076770155831259
1919	1	0.24588878012265553
1919	2	0.17398964787619944
1919	3	0.16725923032314627
2072	2	0.2807678885689734
2072	3	0.5314800823359158
2098	1	1.3378359377647997
2098	2	1.1796391254677288
2098	3	1.224774537360499
2102	1	0.6334180539627527
2102	2	0.4606043105569582
2102	3	0.47637024432704494
2103	1	1.2352213076990355
2103	2	0.23167454371284826
2103	3	0.48640891731919406
2698	1	0.9179261220039343
2698	2	0.8844932259025466
2698	3	0.6164414305675511
2698	2	0.9496170287317406
2698	3	1.2712799110788648
2701	1	0.9894865703978106
2701	2	0.8983267288002732
2701	3	1.1121867008019162
2702	1	1.185837598620565
2702	2	0.8047424614950649
