animal	dpi	weight	baseline_weight	rel	inoculum
YBA2	71	20.8	20.4	0.019607843137255054	RML
YBA3	71	20.6	19.9	0.035175879396984966	RML
YBA4	71	19.5	19.4	0.005154639175257714	RML
YBB1	71	23.7	24.5	-0.032653061224489854	RML
YBB2	71	28.3	25.5	0.1098039215686275	RML
YBB3	71	22.7	22.3	0.017937219730941534	RML
YBB4	71	24	22.4	0.0714285714285714	RML
YBC1	71	22.6	22.4	0.008928571428571619	RML
YBC2	71	25.8	24.1	0.0705394190871369	RML
YBC3	71	22.4	22.2	0.009009009009008917	RML
YBC4	71	23.1	22.2	0.04054054054054057	RML
YBD1	71	24	24.1	-0.004149377593361092	RML
YBD2	71	21.4	20.8	0.028846153846153744	RML
YBD3	71	22.4	22.2	0.009009009009008917	RML
YBD4	71	21.9	22	-0.00454545454545463	RML
YBE1	71	23.5	23.2	0.012931034482758674	RML
YBE2	71	23.1	21.9	0.054794520547945424	RML
YBE4	71	22.5	22.8	-0.013157894736842146	RML
YBF1	71	21.9	21.8	0.004587155963302614	RML
YBF2	71	23.3	22.4	0.04017857142857162	RML
YBF3	71	24.7	24.5	0.008163265306122325	RML
YBF4	71	22.3	21.4	0.0420560747663552	RML
YBG1	71	21.9	21.3	0.028169014084507005	RML
YBG2	71	23.3	23.6	-0.012711864406779738	RML
YBG3	71	20.6	20.9	-0.014354066985645786	RML
YBG4	71	23.9	23.7	0.00843881856540074	RML
YBH1	71	23.9	23.6	0.012711864406779627	RML
YBH2	71	24.2	25.2	-0.03968253968253965	RML
YBH4	71	24.3	23.8	0.021008403361344463	RML
YBI1	71	27.4	25.7	0.06614785992217898	RML
YBI2	71	27.2	25.8	0.05426356589147274	RML
YBI3	71	23.8	21.4	0.11214953271028039	RML
YBI4	71	21.4	20.7	0.033816425120772875	RML
YBJ1	71	23.5	23.5	0	RML
YBJ2	71	23.5	22.6	0.03982300884955747	RML
YBJ3	71	22.9	22.7	0.008810572687224738	RML
YBJ4	71	27.2	27.8	-0.021582733812949728	RML
YBK1	71	23	23.4	-0.017094017094017033	RML
YBK2	71	22.1	22.4	-0.013392857142856984	RML
YBK3	71	25.6	25.4	0.007874015748031704	RML
YBK4	71	28.2	27.5	0.025454545454545396	RML
YBL1	71	22.7	21.8	0.041284403669724634	RML
YBL2	71	22.1	21.2	0.04245283018867929	RML
YBL3	71	26.3	25.3	0.03952569169960474	RML
YBL4	71	23.8	23.3	0.02145922746781115	RML
YBM1	71	27.3	27.6	-0.010869565217391353	RML
YBM2	71	27.6	27.8	-0.007194244604316502	RML
YBM3	71	24.9	24.4	0.020491803278688492	RML
YBM4	71	23.6	22.5	0.04888888888888898	RML
YBN1	71	21.1	20.2	0.044554455445544594	RML
YBN2	71	23.2	21.8	0.06422018348623837	RML
YBO1	71	28.6	28.2	0.014184397163120588	RML
YBO2	71	23	22.9	0.004366812227074357	RML
YBO3	71	22.4	21.6	0.03703703703703698	RML
YBO4	71	22	22.4	-0.017857142857142794	RML
YBP1	71	22.7	22.5	0.008888888888888946	RML
YBP2	71	24.4	23.4	0.042735042735042805	RML
YBP3	71	23.4	22.9	0.02183406113537112	RML
YBP4	71	22.8	21.9	0.04109589041095907	RML
YBQ1	71	25.6	24.7	0.036437246963562764	RML
YBQ2	71	22.5	22.2	0.013513513513513598	RML
YBQ3	71	21.7	22.3	-0.026905829596412634	RML
YBQ4	71	23.1	23	0.004347826086956497	RML
YBS1	71	22.1	20.6	0.07281553398058249	none
YBS2	71	23.6	23.3	0.012875536480686733	none
YBS3	71	21.8	22.1	-0.013574660633484226	none
YBS4	71	23.1	21.8	0.059633027522935755	none
YBT1	71	21.8	21.6	0.0092592592592593	none
YBT2	71	19.4	18.5	0.048648648648648596	none
YBT3	71	22.6	22.5	0.004444444444444473	none
YBT4	71	22.9	22	0.040909090909090784	none
YBU1	71	23.8	25	-0.04799999999999993	none
YBU2	71	24.3	23.8	0.021008403361344463	none
YBU3	71	22.8	23	-0.008695652173912993	none
YBU4	71	22.8	22.4	0.017857142857143016	none
